Название проекта;Адрес;latitude;longitude;Класс;Дата строительства;Общая площадь;Арендуемая офисная площадь;Доля вакантных площадей;Количество этажей;Ставка аренды;Статус;Тип данных
БЦ KUBC;улица Фурката, 5;41.30531; 69.24339;А;2022;11000;9350;;;;Строится;БЦ
БЦ Tashkent City Лот 3;Ташкент Сити Лот 3;41.316031; 69.252528;А;2022;47000;30000;;;;Строится;БЦ
БЦ Trilliant;улица Шахрисабз;41.31628; 69.28131;А;2022;25020;21267;;;;Строится;БЦ
БЦ Zarafshan City;махалля Мухандислар;41.28181; 69.25449;А;2022;8000;6800;;;;Строится;БЦ
БЦ Tashkent City Лот 2;Ташкент Сити Лот 2;41.319041; 69.252196;А;2023;25000;21250;;;;Строится;БЦ
БЦ Tashkent City Лот 4;Ташкент Сити Лот 4;41.313075; 69.251431;А;2023;20000;17000;;;;Строится;БЦ
БЦ Infinity;улица Истикбол, 45-1;41.30099; 69.29022;А;;8600;7310;;;;Нет данных;БЦ
БЦ Tashkent City Лот 6;Ташкент Сити Лот 6;41.314430; 69.245527;А;;325000;276250;;;;Нет данных;БЦ
БЦ Atrium;12ул. Айбека, 18/1;41.29634; 69.27504;В;2000;7500;6375;;5;;Существующий;БЦ
БЦ Inconel;пр. Мустакиллик, 75 ;41.32059; 69.30026;В;2000;8500;5600;4%;10;1944000сум/год;Существующий;БЦ
БЦ Oasis;Саларская набережная, 35А;41.32655; 69.3134;В;2000;9696;8242;;;;Существующий;БЦ
БЦ NGKA;ул. Асака, 39;41.31471; 69.30828;В;2005;1000;850;;;;Существующий;БЦ
БЦ Avalon;ул. Ойбек 38А ;41.29151; 69.28031;В;2009;2161;1837;;5;1680000–1800000сум/год;Существующий;БЦ
БЦ Sigma;ул. Нукус, 71 ;41.28913; 69.27543;В;2009;7200;6120;2%;9;1680000–1800000сум/год;Существующий;БЦ
БЦ UzOman Tower;ул. Амир Темура, 95А;41.33271; 69.28374;В;2010;8600;7310;;7;2980800сум/год;Существующий;БЦ
БЦ Darhan;пр-т Мустакиллик, 88А;41.31938; 69.3009;В;2012;7000;4000;0%;6;1680000сум/год;Существующий;БЦ
БЦ New level;Тараса Шевченко, 23;41.29657; 69.28184;В;2018;8000;6800;;7;;Существующий;БЦ
БЦ Alpha business center;улица Зульфияханум, 12;41.33141; 69.26883;В;2020;8100;6885;;;;Существующий;БЦ
БЦ Arash Centre;улица Истикбол, 34;41.30171; 69.28853;В;;4000;3400;;;;Нет данных;БЦ
БЦ Grande trade;ул. Афросиаб, 4А;41.30206; 69.2689;В;;13440;11424;;;;Нет данных;БЦ
БЦ Tower;улица Фурката, 191;41.30168; 69.24921;В;;2976;2530;;;;Нет данных;БЦ
БЦ City line;ул. 9-й Абдуллы Каххара, 1А;41.27099; 69.26134;В-;2020;4500;3825;;5;;Существующий;БЦ
БЦ Avtokomponent;проспект Амира Темура, 13;41.30614; 69.27798;В-;;13000;11050;;;;Нет данных;БЦ
БЦ Besh-Yogoch;улица Афросиаб, 16;41.29911; 69.27234;В-;;2000;1700;;;;Нет данных;БЦ
БЦ Chilanzar;ул. Чиланзарская, 10;41.28668; 69.22792;В-;;3000;2550;;;;Нет данных;БЦ
БЦ Dukat;улица Афросиаб, 12Б;41.2999; 69.27144;В-;;8500;7225;;;;Нет данных;БЦ
БЦ Inco;ул. Чехова, 32;41.29554; 69.27441;В-;;2600;2210;;;;Нет данных;БЦ
БЦ Mercury;улица Нукус, 3;41.2992; 69.29053;В+;2000;6000;5100;;;;Существующий;БЦ
Международный Бизнес Центр;ул. Амира Темура, 107Б ;41.33625; 69.28222;В+;2000;61530;21400;20%;19 (16 подземных этажей, 3 наземных этажа);2700000сум/год;Существующий;БЦ
БЦ Capital (Пойтахт);ул. Шарафа Рашидова, 16;41.3177; 69.27201;В+;2007;30000;25500;4%;13;1632000сум/год;Существующий;БЦ
БЦ Simurg;ул. Амир Темур 88-А;41.33378; 69.28506;В+;2018;17790;7353;60%;9;;Существующий;БЦ
БЦ Gross plaza;улица Саида Барака, 78;41.2949; 69.27814;В+;2020;13000;11000;;;;Существующий;БЦ
БЦ IT-park;ул. Махтумкули, 1А;41.302871; 69.314695;В+;2022;24000;20400;;;;Строится;БЦ
БЦ International business center;просп. Амира Темура, 107Б;41.336205; 69.282279;В+;;;;;;;Нет данных;БЦ
БЦ The Business Park;улица Махтумкули, 1;41.30297; 69.31591;В+;;14877;12645;;;;Нет данных;БЦ
БЦ Afrosiyob;улица Афросиаб, 14;41.29939; 69.27186;С;2000;1100;935;;;;Существующий;БЦ
БЦ Maxam;улица Афросиаб, 12А;41.29972; 69.27166;С;2000;1100;935;;;;Существующий;БЦ
БЦ New world;улица Айбека, 24;41.29458; 69.27688;С;2019;7504;6378;;;;Существующий;БЦ
БЦ G Build;улица Богидил, 2А;41.29567; 69.2591;С;2021;1550;1318;;;;Существующий;БЦ
БЦ на проспекте Амира Темура, 60;ул. Амира Темура, 60;41.32265; 69.28264;С;;20000;17000;;;;Нет данных;БЦ
